id;descripcion;capacidad;regional;ciudad
1;Sal—n 01;20;5;1
2;Sal—n 01;20;50;2
3;Sal—n 01;20;27;3
4;Sal—n 01;20;41;4
5;Sal—n 01;20;13;5
6;Sal—n 01;20;41;6
7;Sal—n 01;20;25;7
8;Sal—n 01;20;20;8
9;Sal—n 01;20;68;9
10;Sal—n 01;20;17;10
11;Sal—n 01;20;85;11
12;Sal—n 01;20;20;12
13;Sal—n 01;20;41;13
14;Sal—n 01;20;18;14
15;Sal—n 01;20;44;15
16;Sal—n 01;20;68;16
17;Sal—n 01;20;25;17
18;Sal—n 01;20;52;18
19;Sal—n 01;20;76;19
20;Sal—n 01;20;5;20
21;Sal—n 01;20;47;21
22;Sal—n 01;20;41;22
23;Sal—n 01;20;19;23
24;Sal—n 01;20;15;24
25;Sal—n 01;20;73;25
26;Sal—n 01;20;41;26
27;Sal—n 01;20;27;27
28;Sal—n 01;20;13;28
29;Sal—n 01;20;73;29
30;Sal—n 01;20;5;30
31;Sal—n 01;20;5;31
32;Sal—n 01;20;73;32
33;Sal—n 01;20;25;33
34;Sal—n 01;20;52;34
35;Sal—n 01;20;76;35
36;Sal—n 01;20;5;36
37;Sal—n 01;20;5;37
38;Sal—n 01;20;5;38
39;Sal—n 01;20;25;39
40;Sal—n 01;20;5;40
41;Sal—n 01;20;17;41
42;Sal—n 01;20;76;42
43;Sal—n 01;20;73;43
44;Sal—n 01;20;5;44
45;Sal—n 01;20;5;45
46;Sal—n 01;20;25;46
47;Sal—n 01;20;66;47
48;Sal—n 01;20;15;48
49;Sal—n 01;20;47;49
50;Sal—n 01;20;17;50
51;Sal—n 01;20;68;51
52;Sal—n 01;20;81;52
53;Sal—n 01;20;81;53
54;Sal—n 01;20;25;54
55;Sal—n 01;20;52;55
56;Sal—n 01;20;54;56
57;Sal—n 01;20;5;57
58;Sal—n 01;20;15;58
59;Sal—n 01;20;13;59
60;Sal—n 01;20;5;60
61;Sal—n 01;20;19;61
62;Sal—n 01;20;76;62
63;Sal—n 01;20;47;63
64;Sal—n 01;20;13;64
65;Sal—n 01;20;5;65
66;Sal—n 01;20;63;66
67;Sal—n 01;20;73;67
68;Sal—n 01;20;13;68
69;Sal—n 01;20;20;69
70;Sal—n 01;20;73;70
71;Sal—n 01;20;27;71
72;Sal—n 01;20;23;72
73;Sal—n 01;20;27;73
74;Sal—n 01;20;27;74
75;Sal—n 01;20;27;75
76;Sal—n 01;20;19;76
77;Sal—n 01;20;66;77
78;Sal—n 01;20;8;78
79;Sal—n 01;20;41;79
80;Sal—n 01;20;52;80
81;Sal—n 01;20;5;81
82;Sal—n 01;20;68;82
83;Sal—n 01;20;68;83
84;Sal—n 01;20;50;84
85;Sal—n 01;20;68;85
86;Sal—n 01;20;44;86
87;Sal—n 01;20;13;87
88;Sal—n 01;20;8;88
89;Sal—n 01;20;20;89
90;Sal—n 01;20;17;90
91;Sal—n 01;20;5;91
92;Sal—n 01;20;5;92
93;Sal—n 01;20;25;93
94;Sal—n 01;20;15;94
95;Sal—n 01;20;52;95
96;Sal—n 01;20;27;96
97;Sal—n 01;20;66;97
98;Sal—n 01;20;18;98
99;Sal—n 01;20;15;99
100;Sal—n 01;20;5;100
101;Sal—n 01;20;15;101
102;Sal—n 01;20;5;102
103;Sal—n 01;20;68;103
104;Sal—n 01;20;25;104
105;Sal—n 01;20;15;105
106;Sal—n 01;20;54;106
107;Sal—n 01;20;11;107
108;Sal—n 01;20;25;108
109;Sal—n 01;20;27;109
110;Sal—n 01;20;5;110
111;Sal—n 01;20;19;111
112;Sal—n 01;20;68;112
113;Sal—n 01;20;76;113
114;Sal—n 01;20;20;114
115;Sal—n 01;20;15;115
116;Sal—n 01;20;5;116
117;Sal—n 01;20;15;117
118;Sal—n 01;20;68;118
119;Sal—n 01;20;54;119
120;Sal—n 01;20;76;120
121;Sal—n 01;20;15;121
122;Sal—n 01;20;23;122
123;Sal—n 01;20;63;123
124;Sal—n 01;20;70;124
125;Sal—n 01;20;19;125
126;Sal—n 01;20;52;126
127;Sal—n 01;20;76;127
128;Sal—n 01;20;76;128
129;Sal—n 01;20;5;129
130;Sal—n 01;20;15;130
131;Sal—n 01;20;25;131
132;Sal—n 01;20;68;132
133;Sal—n 01;20;50;133
134;Sal—n 01;20;25;134
135;Sal—n 01;20;5;135
136;Sal—n 01;20;76;136
137;Sal—n 01;20;70;137
138;Sal—n 01;20;73;138
139;Sal—n 01;20;19;139
140;Sal—n 01;20;25;140
141;Sal—n 01;20;13;141
142;Sal—n 01;20;95;142
143;Sal—n 01;20;63;143
144;Sal—n 01;20;5;144
145;Sal—n 01;20;15;145
146;Sal—n 01;20;19;146
147;Sal—n 01;20;68;147
148;Sal—n 01;20;76;148
149;Sal—n 01;20;19;149
150;Sal—n 01;20;76;150
151;Sal—n 01;20;5;151
152;Sal—n 01;20;8;152
153;Sal—n 01;20;41;153
154;Sal—n 01;20;15;154
155;Sal—n 01;20;23;155
156;Sal—n 01;20;8;156
157;Sal—n 01;20;76;157
158;Sal—n 01;20;13;158
159;Sal—n 01;20;27;159
160;Sal—n 01;20;25;160
161;Sal—n 01;20;68;161
162;Sal—n 01;20;5;162
163;Sal—n 01;20;5;163
164;Sal—n 01;20;68;164
165;Sal—n 01;20;5;165
